"iso","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","umd_tree_cover_loss__year"
"COL",89515867.02268714,424870.2839479082,164112422.87492642,2017
"COM",59680.755082827454,307.9432150459239,109414.71765185034,2017
"CRI",4356511.147733331,22095.55522014487,7986937.104177772,2017
"CUB",8268508.539299283,76813.80059414673,15158932.322048679,2017
"CYM",5967.563901120303,73.62158437147349,10940.533818720558,2017
"CYP",45707.51132331128,437.26965278404805,83797.1040927373,2017
"CZE",5306599.752368938,26511.922830655854,9728766.212676393,2017
"DEU",6133185.372515653,33000.27868154504,11244173.182945365,2017
"DMA",5733550.430069214,23291.209868463797,10511509.121793557,2017
"DNK",443919.3336727078,4360.353965592468,813852.1117332976,2017
"DOM",4318641.06586213,27062.925092587833,7917508.620747239,2017
"DZA",5448346.973332312,45978.555096402415,9988636.11777591,2017
"ECU",18751388.696863078,71107.7558019125,34377545.94424898,2017
"EGY",4556.5819093063565,58.430383589154246,8353.733500394985,2017
"ESP",13303399.054621294,98458.97696128767,24389564.933472373,2017
"EST",3706004.3688234063,38856.65723429273,6794341.342842911,2017
"ETH",5844310.38949573,35403.5058271183,10714569.047408838,2017
"FIN",24163681.35846605,336198.6682048923,44300082.490521096,2017
"FJI",648387.2387238087,3091.6189992173613,1188709.937660316,2017
"FRA",11831635.024151154,69249.04325344597,21691330.877610452,2017
"GAB",9142005.090301823,38643.85552321285,16760342.665553372,2017
"GBR",3679362.1210772507,23041.725849351315,6745497.221974961,2017
"GEO",33694.13108283062,207.89816537639868,61772.57365185616,2017
"GHA",14660041.185824445,115285.96497551794,26876742.174011476,2017
"GIN",28489286.61563469,231588.02093249382,52230358.79533027,2017
"GLP",9964.203474042642,60.452950359764145,18267.70636907818,2017
"GMB",651.0640941065905,8.093337744221259,1193.6175058620825,2017
"GNB",1909040.7502521342,16436.504582305883,3499908.042128912,2017
"GNQ",3008432.5116977175,11937.945930302225,5515459.6047791485,2017
"GRC",821161.1710616311,8906.940785318855,1505462.1469463229,2017
"GRD",4709.6602139561965,28.15271755384949,8634.377058919694,2017
"GTM",13447217.687074129,79731.60581808399,24653232.426302567,2017
"GUF",1233005.4401010354,4144.336964557682,2260509.9735185644,2017
"GUY",5284907.927000565,19433.664030442415,9688997.866167704,2017
"HKG",14577.88954359864,91.72549676439189,26726.130829930844,2017
"HND",20286321.856258478,113473.73292354496,37191590.0698072,2017
"HRV",927597.0419393494,5846.534455798627,1700594.5768888076,2017
"HTI",820387.8363441237,5498.831192214659,1504044.3666308937,2017
"HUN",1890990.9883519383,14108.816914518415,3466816.8119785525,2017
"IDN",278966241.97076356,1300719.3759037382,511438110.2797332,2017
"IMN",2505.696117705672,18.11718344127409,4593.776215793732,2017
"IND",39802963.364362866,189420.96590027233,72972099.50133191,2017
